sido,CTP_ENG_NM,CTP_KOR_NM,carbon
11,Seoul,서울특별시,27978.77
26,Busan,부산광역시,14579.32
27,Daegu,대구광역시,8625.06
28,Incheon,인천광역시,53558.05
29,Gwangju,광주광역시,5776.18
30,Daejeon,대전광역시,5880.99
31,Ulsan,울산광역시,38467.86
36,Sejong-si,세종특별자치시,2157.65
41,Gyeonggi-do,경기도,85109.06
42,Gangwon-do,강원도,50033.5
43,Chungcheongbuk-do,충청북도,27723.55
44,Chungcheongnam-do,충청남도,154754.82
45,Jeollabuk-do,전라북도,13891.96
46,Jellanam-do,전라남도,90996.32
47,Gyeongsangbuk-do,경상북도,58051.14
48,Gyeongsangnam-do,경상남도,59184.25
50,Jeju-do,제주특별자치도,4601.95
